Food Item Name,Label,Description,Amount,Type,Other Info,Dinning Hall
Acai Berry Smoothie,vegetarian,"Refreshing smoothie blend of acai, strawberries, banana, and blueberries.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Banana Berry Smoothie,vegetarian,"A delectable smoothie with Greek yogurt, bananas, and strawberries.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Bangin' Berry Smoothie,vegan,"A tasty smoothie with pomegranate raspberries, blueberries, and bananas.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Caribbean Craze Smoothie,vegan,"A sweet smoothie made with bananas, strawberries, and sorbet.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Goin' Green Smoothie,vegan,"A nutritious smoothie with sorbet, kale, pineapple, and mango.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Immunity Boost Powder,,Vegan vanilla protein powder available to be added to any smoothie.,1/3 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Mango Me Crazy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, mango, and passionfruit.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Maui Mango Smoothie,vegan,"A savory smoothie with sorbet, mangos, bananas, strawberries, and passionfruit.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Orange Sunrise Smoothie,vegetarian,"A tart smoothie with oranges, bananas, strawberries, and pineapple.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Peach on the Beach Smoothie,vegetarian,"A delicious smoothie with oranges, peaches, strawberries, and mango.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Peanut Butter Protein Smoothie,vegetarian,"A rich-tasting smoothie made with Greek yogurt, bananas, peanut butter, cocoa, and protein.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Protein Powder,vegan,Vegan vanilla protein powder available to be added to any smoothie.,1/3 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Super Fuel Smoothie,vegetarian,A tangy citrus based smoothie with pineapple and strawberries.,21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Tropical Therapy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, coconut, and kiwi limes.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Wild Strawberry Smoothie,vegan,"A delicious smoothie with sorbet, strawberries, and kiwi limes.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Black Olives,vegan,Sliced black olives.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Cantina Salsa,vegan,Spicy homemade salsa,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Fresh Diced Tomatoes,vegan,"Fresh, diced tomatoes.",1/4 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Guacamole,vegan,"Creamy guacamole with lime juice, cilantro, onions, and jalapeno chilis.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Homemade Turkey Sausage,,Flavorful turkey sausage.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Ole Hash Rounds,vegan,Crispy potato coins tossed in salt and Tazon spice.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Pico De Gallo,vegan,Fresh tomato salsa with fresh ingredients.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Refried Beans,vegan,Mexican refried beans.,5 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Romaine Lettuce,vegan,"Fresh, chopped romaine lettuce.",6 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
"Salad Dressing, Chipotle Ranch",vegetarian,A creamy ranch dressing with chipotle flavoring.,2 Tbsp,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Scrambled Eggs,vegetarian,"Fluffy, scrambled eggs.",4 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Cheddar Cheese,vegetarian,Mild shredded cheddar cheese.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Iceberg Lettuce,vegan,"Fresh, shredded Iceburg lettuce.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sliced Bacon,,"Sliced, cooked bacon.",1 Slice,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sliced Jalapenos,vegan,"Fresh, sliced jalapeno pepper.",1/2 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sour Cream,vegetarian,"Fresh, all natural sour cream.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Burger Crumbles,vegan,Flavorful vegan meat crumbles.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Shredded Cheddar Cheese,vegan,"Creamy, shredded vegan cheese.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
"Bacon, Egg & Cheese on a Scratch Biscuit",halal,"Halal bacon beef, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Bacon, Egg & Cheese on a Scratch Croissant",halal,"Bacon beef halal, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Chicken Cordon Bleu Quiche,,,1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Halal Chicken Sausage, Egg & Cheese on a Scratch Biscuit",halal,"Chicken sausage halal, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Halal Chicken Sausage, Egg & Cheese on a Scratch Croissant",halal,"Sausage chicken halal, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Plant Based Patty, Egg & Cheese on a Scratch Biscuit",vegetarian,"A plant based sausage patty, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Plant Based Patty, Egg & Cheese on a Scratch Croissant",halal,"A plant-based sausage patty, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Quiche Lorraine,,"Cheese, eggs, bacon, ham, and filling baked in a pie shell.",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Southwest Chicken Quiche,,"Eggs, chicken, cheddar cheese, roasted corn, and filling baked into a pie crust",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Spinach Feta Quiche,vegetarian,"Eggs, spinach, mozzarella cheese, feta cheese, and filling baked into a pie crust.",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Farms & Fields Daily Menu,,,,Lunch/Dinner,Farms & Fields Daily Menu,Food Court/Hokie Grill at Owens Hall
Blue Ridge BBQ Cornbread Muffin,vegetarian,"Moist, freshly baked cornbread muffins.",1 Muffin,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Fresh Vegetable of the Day,,Fresh vegetables prepared daily. Please see Grubhub or point of service signage in Owens at Dish to see today's selection!,1 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Italian Herb Rotisserie Chicken,halal,Cooked Halal chicken breast and chicken legs sprinkled with italian seasoning.,1 Piece,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Macaroni & Cheese,vegetarian,Macaroni noodles mixed into a creamy sauce with American and cheddar cheeses.,4 1/2 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Pinto Beans w/Ham,,Pinto beans cooked with chicken consomme and mixed with fresh red onion and country ham.,4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Ranch Roasted Red Potatoes,vegetarian,Baby red potatoes coated in ranch seasoning and baked in the oven.,4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Roasted Brussel Sprouts,vegan,"Brussel sprouts seasoned with olive oil, salt, and pepper roasted to perfection.",4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Swedish Meatballs with Egg Noodles,,,6 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Garlic Breadsticks,vegetarian,"Fluffy breadsticks covered with oil, garlic, and Italian seasoning.",1 Stick,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Linguine Pasta,vegan,Linguine pasta tenderly cooked.,8 Oz,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Penne Pasta,vegan,Tender penne pasta.,8 Oz,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Pesto Alfredo Sauce,vegetarian,Creamy alfredo sauce flavored with basil pesto.,4 Oz,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Pork & Beef Meatballs,,Italian seasoned pork and beef meatballs in marinara sauce.,4 Oz,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Red Sauce,vegan,Traditional marinara pasta sauce.,4 Oz,Lunch/Dinner,Ciotola,Food Court/Hokie Grill at Owens Hall
Egg Rolls,vegetarian,Crispy vegetable egg roll.,1 Egg Roll,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
General Tso's Chicken w/Rice & Broccoli,,Tender white meat chicken deep fried and served with broccoli over seasoned white rice.,15 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
Hakka Noodles,vegan,"Indo-chinese thin, flat noodles.",6 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
Jasmine Rice,vegan,Authentic Thai jasmine rice.,6 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
Pork Fried Rice,,,8 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
Steamed Fresh Broccoli,vegan,Steamed fresh broccoli.,3 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
Vegetable Stirfry,vegan,"Colorful vegetable stirfry served with your choice of jasmine rice, hakka noodles, or fried rice.",8 Oz,Lunch/Dinner,Wan,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""Fantastic Frank""",,"A focaccia bun with creamy pesto mayonnaise, tender chicken breast, provolone cheese, lettuce, and roasted red peppers grilled on a tender panini grill.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""Special Teams""",,"Savory turkey breast, provolone cheese, lettuce, tomato, onion, and homemade ranch on a hoagie roll.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""The Blocked Kick""",,"Pastrami, swiss, coleslaw, and 1000 island dressing on rye bread.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""The Defensive Back""",,"A fluffy hoagie roll topped with sliced roast beef, cheddar cheese, lettuce, tomato, onion, and bistro sauce.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""The Lunch Pail""",,"A hoagie roll topped with ham, salami, pepperoni, provolone cheese, lettuce, red onion, tomato, and tasty Italian dressing.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Frank's Sandwich, ""The Red Zone""",,"Ham, turkey breast, bacon with Swiss cheese, bistro sauce, tomato, red onion, and lettuce between two fluffy pieces of sourdough bread.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
Halal Beef Meatball Sub,halal,"Hoagie roll topped with halal meatballs, tomato sauce, and a blend of cheeses and seasonings.",1 Each,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
Kettle Potato Chip,vegan,Homemade potato chips that are deep fried and lightly seasoned with salt.,1 1/2 Oz,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
"Sandwich, Chicken Bacon Ranch",,"Grilled chicken breast, cheddar cheese, sliced bacon, fresh lettuce, and homemade ranch dressing served atop of thick sourdough bread. Served with chips and a pickle.",1 Sandwich,Lunch/Dinner,Frank's,Food Court/Hokie Grill at Owens Hall
Banana Peppers,vegan,Sliced pickled banana peppers.,1/2 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Bistro Sauce,vegetarian,"A flavorful bistro sauce that combines mustard, tomato puree, horseradish, and other seasonings and flavorings.",1 Tsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Cheese, Cheddar",vegetarian,Sliced cheddar cheese.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Cheese, Provolone",vegetarian,Sliced provolone cheese.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Cheese, Swiss",vegetarian,Sliced swiss cheese.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Coleslaw,vegetarian,"Traditional coleslaw made with fresh green cabbage, carrots, mayonnaise, mustard, and a blend of spices.",4 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Focaccia Bun,vegan,"A soft, fluffy bun made with added spices.",1 Each,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Franks Extra Chicken,,Fire braised chicken breast made with chicken broth and added flavoring.,4 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Halal Beef Meatballs,,Halal beef meatballs tossed with red sauce and a blend of spices.,1 Each,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Halal Pepperoni & Salami,halal,Halal beef salami and halal sliced beef pepperoni mixed with a blend of seasonings.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Lettuce Mix,vegan,A mix of fresh green and red leaf lettuce.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Lettuce,vegan,"Fresh, leafy lettuce.",1 Each,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Mayonnaise,vegetarian,Creamy mayonnaise.,1/2 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Oil and Vinegar,vegetarian,,1 Ozl,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Oregano,vegan,Flavorful oregano.,1/4 Tsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Pepperjack Cheese,vegetarian,Shredded pepperjack cheese.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Pesto Mayonnaise,vegetarian,Maynonnaise and pesto sauce combined mixed with added seasonings.,1 Ozl,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Pickle Spear,vegan,Crisp dill pickle spear.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Pickled Red Onion,,"Fresh, pickled red onions.",1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Red Onions,vegan,"Fresh, cut red onions.",1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Roasted Red Peppers,vegan,"Roasted, cut red bell peppers.",1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Rye Bread,vegan,Fluffy rye bread.,1 Slice,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Salad Dressing, Fat Free Italian",vegan,Fat-free italian dressing.,1 Tbsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Salad Dressing, Ranch",vegetarian,Creamy ranch dressing.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
"Salad Dressing,1000 Island",vegetarian,Creamy 1000 island dressing.,1 Tbsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Bacon,,"Sliced, cooked bacon.",1 Slice,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Ham,,Flavorful sliced ham.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Jalapenos,vegan,"Fresh, sliced jalapeno pepper.",1/2 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Pastrami,,Seasoned beef pastrami.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Pepperoni,,"Seasoned, sliced pork pepperoni.",1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Roast Beef,,Sliced roast beef seasoned with salt and pepper.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Salami,,Seasoned beef and pork salami.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Tomato,vegan,"Crisp, freshly sliced tomato.",1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sliced Turkey Breast,,Seasoned sliced turkey breast.,1 Oz,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Sourdough Bread,vegan,"Soft, flavorful sourdough bread.",1 Slice,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Spicy Brown Mustard,vegan,"Spicy brown mustard made with vinegar, mustard seed, salt, spices, and turmeric.",1 Tsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Tortilla for Wraps and Burritos,vegan,Flour tortilla.,1 Tortilla,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Wheat Hoagie Roll,vegetarian,A crisp hoagie roll.,1 Eacg,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
White Hoagie Roll,vegetarian,"A fresh-baked, golden-brown hoagie roll.",1 Each,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Yellow Mustard,vegan,"Thick, creamy mustard.",1 Tsp,Lunch/Dinner,Frank's Build Your Own Sandwich,Food Court/Hokie Grill at Owens Hall
Acai Berry Smoothie,vegetarian,"Refreshing smoothie blend of acai, strawberries, banana, and blueberries.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Banana Berry Smoothie,vegetarian,"A delectable smoothie with Greek yogurt, bananas, and strawberries.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Bangin' Berry Smoothie,vegan,"A tasty smoothie with pomegranate raspberries, blueberries, and bananas.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Caribbean Craze Smoothie,vegan,"A sweet smoothie made with bananas, strawberries, and sorbet.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Goin' Green Smoothie,vegan,"A nutritious smoothie with sorbet, kale, pineapple, and mango.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Immunity Boost Powder,,Vegan vanilla protein powder available to be added to any smoothie.,1/3 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Mango Me Crazy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, mango, and passionfruit.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Maui Mango Smoothie,vegan,"A savory smoothie with sorbet, mangos, bananas, strawberries, and passionfruit.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Orange Sunrise Smoothie,vegetarian,"A tart smoothie with oranges, bananas, strawberries, and pineapple.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Peach on the Beach Smoothie,vegetarian,"A delicious smoothie with oranges, peaches, strawberries, and mango.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Peanut Butter Protein Smoothie,vegetarian,"A rich-tasting smoothie made with Greek yogurt, bananas, peanut butter, cocoa, and protein.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Protein Powder,vegan,Vegan vanilla protein powder available to be added to any smoothie.,1 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Super C Immune Support Smoothie,vegetarian,"Tasty citrus orange smoothie blended with pineapple, strawberries, banana, and immunity boost powder.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Super Fuel Smoothie,vegetarian,A tangy citrus based smoothie with pineapple and strawberries.,21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Tropical Therapy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, coconut, and kiwi limes.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Wild Strawberry Smoothie,vegan,"A delicious smoothie with sorbet, strawberries, and kiwi limes.",21 Oz,Lunch/Dinner,Freshen's,Food Court/Hokie Grill at Owens Hall
Ancho Lime Chicken,halal,,1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Black Olives,vegan,Sliced black olives.,1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Cantina Salsa,vegan,Spicy homemade salsa,1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Charro Beans,vegan,,4 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Fresh Diced Tomatoes,vegan,"Fresh, diced tomatoes.",1/4 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Guacamole,vegan,"Creamy guacamole with lime juice, cilantro, onions, and jalapeno chilis.",1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Lime Wedge,vegan,Juicy lime wedge.,1 Wedge,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Pepperjack/American Cheese Blend,vegetarian,A mix of shredded white American and pepper jack cheese.,1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Pico De Gallo,vegan,Fresh tomato salsa with fresh ingredients.,1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Puerco Pibil,,Traditional Mexican shredded pork.,3 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Refried Beans,vegan,Mexican refried beans.,5 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
"Rice, Cilantro Lime",vegan,White rice with cilantro and lime.,6 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Romaine Lettuce,vegan,"Fresh, chopped romaine lettuce.",6 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
"Salad Dressing, Chipotle Ranch",vegetarian,A creamy ranch dressing with chipotle flavoring.,2 Tbsp,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Cheddar Cheese,vegetarian,Mild shredded cheddar cheese.,3 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Iceberg Lettuce,vegan,"Fresh, shredded Iceburg lettuce.",1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Sliced Jalapenos,vegan,"Fresh, sliced jalapeno pepper.",1/2 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Sour Cream,vegetarian,"Fresh, all natural sour cream.",1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Burger Crumbles,vegan,Flavorful vegan meat crumbles.,3 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Shredded Cheddar Cheese,vegan,"Creamy, shredded vegan cheese.",1 Oz,Lunch/Dinner,Tazon,Food Court/Hokie Grill at Owens Hall
"Burger, Bacon Cheese",,"Grilled beef hamburger patty covered with american cheese and bacon between a Carter's, local bakery, hamburger bun, served with chips and a pickle.",1 Burger,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
"Burger, Cheese w/toppings",,"A grilled hamburger patty covered with american cheese between Carter’s, local bakery, hamburger bun. Toppings may be added upon request.",1 Burger,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
"Burger, Grilled w/bun & toppings",,"Grilled beef hamburger patty between Carter’s, local bakery, hamburger bun, topped with your choice of toppings.",1 Burger,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
Pop's Sidewinders Fries,vegan,French fries deep fried until crispy.,5 Oz,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
Veggie Burger,vegetarian,Grilled veggie burger served on a whole wheat bun.,1 Burger,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
Veggie Burger w/ Cheese,vegetarian,Grilled veggie burger topped with cheese and served on a whole wheat bun.,1 Burger,Lunch/Dinner,Pops Burgers & Phillys,Food Court/Hokie Grill at Owens Hall
Apple Pie,vegan,Classic apple pie filling baked into a golden-brown crust.,1 Slice,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Bearclaw Danish,vegetarian,Flakey Danish pastry filled with a creamy date mixture and topped with a sweet apricot glaze.,1 Danish,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Blueberry Pie,vegan,Smooth blueberry filling baked into a golden-brown pie crust.,1 Slice,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Buttermilk Biscuit,vegetarian,"A warm, fluffy, buttermilk biscuit.",1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Cheese Danish,vegetarian,Danish pastry with sweet cream cheese filling and an apricot glaze.,1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Chicken Cordon Bleu Quiche,,,1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Chocolate Pot de Creme,vegetarian,Rich coffee infused chocolate custard.,1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Chocolate Triology Pastry,vegetarian,"Yummy and delectable chocolate genoise, dark, milk and white chocolate mousse layers, and dark chocolate shavings on top.",1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Cinnamon Bun,vegetarian,"A soft, doughy cinnamon bun filled with raisins and topped in a sweet, sticky glaze.",1 Bun,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
Eclair,vegetarian,A traditional chocolate eclair.,1 Each,Lunch/Dinner,Sweets,Food Court/Hokie Grill at Owens Hall
